1	204	484	5684	341	5080	321
2	2191	5733	1495	4575	4750	3974
3	5181	5407	1218	433	1712	203
4	2234	2095	5640	365	816	225
5	4342	2495	3929	2180	1626	486
6	304	4373	225	708	3637	2191
7	321	1495	1626	365	5640	5407
8	203	2234	708	4575	2180	3637
9	484	304	4750	3974	433	341
10	1218	4373	204	1712	5733	2495
11	5080	4342	486	5684	2095	5181
12	3929	225	4575	816	433	1495
13	304	1626	3974	5733	2234	321
14	5684	4373	3637	484	486	2095
15	203	2191	816	5080	204	5407
16	341	2495	365	708	5181	4342
17	5640	2180	4750	1218	1712	3929
18	486	5407	433	4575	2495	321
19	5684	3929	304	816	5080	4373
20	341	5733	3637	1495	5640	1218
21	2180	1712	708	2095	204	4750
22	4342	203	1626	2234	3974	484
23	2191	225	1712	365	5181	486
24	5407	1626	3929	5080	3637	304
25	5181	2495	4750	5640	484	816
26	2180	204	1495	225	5684	321
27	2095	4342	2191	203	4575	5733
28	2234	433	1218	365	708	3974
29	341	1626	204	4373	2191	5181
30	365	3637	433	5684	5733	816
31	486	708	2495	5640	341	3929
32	2234	4575	4373	2180	5080	484
33	3974	1218	2095	1495	5407	304
34	4342	1712	321	203	225	4750
35	5080	5640	3974	3929	3637	2095
36	321	486	816	1218	203	2180
37	341	4373	1712	4575	4342	365
38	5733	708	4750	1495	2234	5181
39	2191	2495	304	484	225	5407
40	204	433	708	1626	5684	5080
41	5640	5181	4575	4342	1218	304
42	433	5733	225	5407	341	203
43	816	2095	2180	2495	204	3974
44	5684	365	1495	1626	1712	484
45	486	3637	2234	4750	2191	3929
46	321	203	5181	4373	1495	708
47	2234	3929	2180	5684	341	2191
48	2495	5080	433	304	5733	365
49	484	1218	321	225	1626	2095
50	3974	816	3637	1712	4575	486
51	4750	5407	4373	204	4342	5640
52	225	5181	5080	2495	1495	2095
53	341	304	2234	204	1712	816
54	486	3974	2191	5640	5733	4373
55	4342	3637	484	321	433	2180
56	708	4575	5407	4750	1626	365
57	203	3929	1495	1218	5684	2495
58	321	3974	5407	5181	3637	204
59	365	484	3929	203	2095	304
60	433	4575	5684	486	225	5640
61	4750	341	1218	2234	5080	2191
62	708	816	1626	4342	5733	2180
63	4373	484	2495	1712	2234	5407
64	203	3637	5640	304	2180	5181
65	321	2095	365	341	816	4575
66	5080	1712	1495	1626	433	2191
67	5684	486	4750	4373	4342	3974
68	204	3929	5733	1218	708	225
